Index	HOMO (A)	HOMO (AH)	LUMO (A)	LUMO (AH)	charge (AH)	Charge metal (A)	epsilon	Charge metal (AH)	M-H (AH) max	Charge hydride (AH)	metal centre 	coordination number (AH)	cc_AH	coordination number (A)	cc_A	solvated PA	gas PA	Experimental pKa
90	-8.7525	-10.4	-7.0418	-10.3568	1	-0.543	10.36	-0.054	1.6558787	-0.063	74	5	43	5	43	-0.179764925	-0.137382344	7.8
91	-8.7352	-10.0031	-5.8381	-7.3988	1	-0.301	10.36	-0.173	1.7365374	0.131	74	7	64	6	63	-0.170170099	-0.126802727	4.2
92	-8.8069	-10.3653	-5.7139	-9.0328	1	-0.322	10.36	0.121	1.6676361	-0.188	74	7	64	6	63	-0.175914493	-0.122091869	1.1
93	-8.7525	-10.2583	-6.9763	-9.1497	1	-0.519	10.36	-0.156	1.6492713	-0.06	74	5	43	4	42	-0.173583533	-0.131368979	4.2
94	-9.4665	-10.4368	-6.9021	-8.1534	1	-0.766	8.93	-0.296	1.7603313	0.021	42	7	45	6	44	-0.167833005	-0.124810216	5.5
95	-9.419	-10.5563	-6.8931	-7.9384	1	-0.715	8.93	-0.629	1.7187282	0.152	42	7	45	6	44	-0.167018862	-0.124906234	0.8
96	-9.3679	-10.5722	-6.4164	-9.2871	1	-0.888	8.93	0.02	1.6142456	-0.152	42	5	43	6	44	-0.197063476	0.216974008	12
98	-8.274	-10.3327	-4.999	-8.731	0	-0.355	7.52	0.146	1.6049561	-0.161	42	4	19	3	18	-0.202552897	-0.254493777	17
99	-8.7106	-9.3103	-5.8045	-7.3957	-1	-0.381	78.4	-0.206	1.6468374	-0.123	74	5	25	3	18	-0.216607028	-0.409302772	5.8
100	-7.7066	-9.9043	-5.14	-8.2532	0	0.377	36.6	0.397	1.5307552	-0.159	24	4	19	3	18	-0.212128921	-0.278497986	17
101	-6.4807	-8.8674	-5.1015	-7.4526	0	0.341	36.6	0.382	1.5235157	-0.212	24	4	28	3	27	-0.248253378	-0.305898287	26.1
102	-6.1736	-8.8335	-4.8283	-7.456	0	0.345	36.6	0.385	1.5268756	-0.238	24	3	13	3	18	-0.254168831	-0.320273683	27.2
103	-6.525	-8.8107	-5.713	-7.5088	0	0.357	36.6	0.387	1.5299232	-0.256	74	3	13	3	18	-0.250739735	-0.311637485	31.9
106	-9.0439	-10.5635	-6.6425	-8.5192	1	-0.469	10.36	-0.399	1.6127079	0.05	75	3	13	3	27	-0.144725686	-0.098782728	0.5
107	-9.0098	-10.5239	-6.5507	-8.4686	1	-0.462	10.36	-0.389	1.6157076	0.049	75	3	13	3	27	-0.143950344	-0.0962423	1.5
109	-9.2242	-10.5024	-9.157	-10.4487	1	-0.121	78.4	-0.081	1.5920415	0.104	75	2	2	1	1	-0.15399517	-0.085105571	8.5
111	-9.9967	-11.0807	-7.21	-8.1338	0	-1.18	78.4	-0.925	1.5272233	0.099	25	6	31	5	30	-0.166549499	-0.23642312	7.1
115	-7.4279	-8.985	-6.3466	-6.938	1	-0.72	36.6	-0.627	1.6395982	0.025	75	7	49	7	63	-0.184581354	-0.13634525	25.5
121	-6.2219	-7.8483	-5.7426	-6.4896	0	-1.075	7.52	-0.871	1.6698411	0.07	75	8	50	7	49	-0.224177329	-0.249855608	40
125	-9.7139	-10.6878	-7.3719	-8.2251	2	-0.239	8.93	-0.267	1.6967811	0.146	76	7	68	6	67	-0.125992227	-0.009593596	-5.7
126	-10.0563	-11.1315	-7.3287	-8.2519	2	-0.344	8.93	-0.399	1.5901356	0.134	44	5	38	6	67	-0.127924942	-0.0155811	-6
127	-8.2521	-9.5739	-6.7205	-7.7884	1	-0.147	8.93	-0.121	1.5643634	0.015	76	6	64	5	61	-0.156944155	-0.128907066	12.5
128	-8.5516	-9.8674	-6.6986	-7.6223	1	-0.283	8.93	-0.288	1.5249644	0.03	44	7	79	5	61	-0.165626812	-0.136340009	4.4
129	-9.6633	-10.931	-7.167	-8.0381	2	-0.331	8.93	-0.379	1.5745389	0.111	44	7	68	6	67	-0.134882715	-0.021039513	-5
130	-10.0891	-11.6401	-7.5795	-9.2774	2	-0.294	8.93	-0.308	1.6125332	0.13	44	4	15	3	22	-0.110282568	0.017460412	-1.3
131	-9.6363	-11.2208	-8.5902	-9.4038	2	-0.14	8.93	-0.178	1.6729003	0.156	76	7	52	6	51	-0.122321817	0.004587922	-5
132	-9.6876	-11.2438	-8.5931	-9.3835	2	-0.141	8.93	-0.182	1.6372253	0.151	76	7	52	6	51	-0.117573303	0.001624027	-5
